text,risk_group,asset_type,question_type,question_group,relative_vul_group,value_type,question_number,root_risk,threat_type,perceived_threat,description,control_nist,
"How likely is it that your organization's sensitive supplier-related data ( e.g., system access credentials, encryption keys, supplier contracts, or strategic plans) could be compromised?",Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_question_group_3,"sw_hosted_group_1,sw_hosted_group_2,sw_hosted_group_3,sw_hosted_group_4,sw_hosted_group_5,sw_hosted_group_6,sw_hosted_group_7,sw_hosted_group_8,sw_hosted_group_9,sw_hosted_group_10,sw_hosted_group_11,sw_hosted_group_13,sw_hosted_group_14,sw_hosted_group_15,sw_hosted_group_16",THREAT,threat_101,"weak data protection measures, access controls, or data encryption practices",Sensitive supplier-related data breach or loss,Data Breach or Loss,"The risk of compromised sensitive supplier-related data is heightened by various vulnerabilities within an organization's software applications and network infrastructure. These vulnerabilities may arise from factors such as inadequate data encryption, insufficient access controls, or a lack of proper data classification. In addition, weak password policies, susceptibility to phishing attacks, and failure to regularly update credentials can make it easier for malicious actors to gain unauthorized access to sensitive data.
Compromising sensitive supplier-related data can also result from weaknesses in an organization's network architecture, such as a lack of proper network segmentation to protect sensitive data. Furthermore, inadequate change control mechanisms, improper input validation, and failure to conduct regular audits or apply patches promptly can create openings for attackers to exploit.",,
"If your organization's sensitive supplier-related data such as system access credentials, encryption keys, supplier contracts, or strategic plans were compromised, how significant would the potential impact be on your organization's operations, competitive advantage, and relationships with suppliers?",Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,IMPACT,sw_hosted_question_group_3,"sw_hosted_group_1,sw_hosted_group_2,sw_hosted_group_3,sw_hosted_group_4,sw_hosted_group_5,sw_hosted_group_6,sw_hosted_group_7,sw_hosted_group_8,sw_hosted_group_9,sw_hosted_group_10,sw_hosted_group_11,sw_hosted_group_13,sw_hosted_group_14,sw_hosted_group_15,sw_hosted_group_16",IMPACT,impact_101,potential consequences of sensitive supplier-related data breach or loss,Sensitive supplier-related data breach or loss,Data Breach or Loss,,,
How likely is it that your organization could face a breach of contract or non-compliance breach from suppliers due to a lack of security practices such as inadequate contractual safeguards or failure to adhere to security regulations and standards?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_question_group_4,"sw_hosted_group_46,sw_hosted_group_47,sw_hosted_group_48,sw_hosted_group_49,sw_hosted_group_57",THREAT,threat_101,lack of security practices such as inadequate contractual safeguards or failure to adhere to security regulations and standards,Supplier breach of contract or non-compliance breach,Supplier non-compliance breach,"The risk of a breach of contract or non-compliance due to a lack of security practices is often exacerbated by several vulnerabilities within an organization's supplier management processes. These vulnerabilities may stem from factors such as insufficient security clauses in contracts with third-party suppliers, inadequate processes for vetting suppliers, or a failure to adequately monitor supplier performance in terms of security compliance. In addition, an organization may face risks if it does not enforce or monitor the adherence of its suppliers to security regulations and standards.",,
"If your organization experiences a breach of contract or non-compliance breach from a supplier, how significant would the potential impact be on your organization's operations, reputation, legal standing, and relationships with other suppliers?",Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,IMPACT,sw_hosted_question_group_4,"sw_hosted_group_46,sw_hosted_group_47,sw_hosted_group_48,sw_hosted_group_49,sw_hosted_group_57",IMPACT,impact_101,lack of security practices such as inadequate contractual safeguards or failure to adhere to security regulations and standards,Supplier breach of contract or non-compliance breach,Supplier non-compliance breach,,,
How likely is it that a lack of understanding of information exchange requirements could lead to supply chain communication breakdown or communication eavesdropping?,Software Risk,THIRD-PARTY SOFTWARE,LIKELIHOOD,sw_hosted_question_group_5,"sw_hosted_group_3, sw_hosted_group_4, sw_hosted_group_6, sw_hosted_group_10,sw_hosted_group_11,sw_hosted_group_16,sw_hosted_group_50,sw_hosted_group_51,sw_hosted_group_52,sw_hosted_group_53,sw_hosted_group_54,sw_hosted_group_55,sw_hosted_group_56,sw_hosted_group_27,sw_hosted_group_26",THREAT,threat_101,A lack of understanding of information exchange requirements,Supply chain communication breakdown,Communication breakdown and  eavesdropping,"Effective and secure communication within the supply chain is crucial for the smooth operation of an organization. A lack of understanding of information exchange requirements can lead to communication breakdowns, which can cause delays, miscommunications, and operational inefficiencies. Furthermore, insecure communication practices can expose an organization to the risk of communication eavesdropping, where malicious actors intercept and access sensitive information exchanged within the supply chain.",,
How significant would the impact be on your organization if information transfers between your organization and its suppliers violate one or more security or privacy policies ?,Software Risk,THIRD-PARTY SOFTWARE,IMPACT,sw_hosted_question_group_5,"sw_hosted_group_3, sw_hosted_group_4, sw_hosted_group_6, sw_hosted_group_10,sw_hosted_group_11,sw_hosted_group_16,sw_hosted_group_50,sw_hosted_group_51,sw_hosted_group_52,sw_hosted_group_53,sw_hosted_group_54,sw_hosted_group_55,sw_hosted_group_56,sw_hosted_group_27.sw_hosted_group_26",IMPACT,impact_101,lack of understanding of information exchange requirements,Supply chain communication breakdown,Communication breakdown and  eavesdropping, ,,
" How likely is it that your organization would experience a cloud security breach, considering all types of cloud services (SaaS, PaaS, IaaS)?",Software Risk,THIRD-PARTY SOFTWARE,LIKELIHOOD,sw_hosted_question_group_6,"sw_hosted_group_58,sw_hosted_group_59,sw_hosted_group_60,sw_hosted_group_61,sw_hosted_group_62,sw_hosted_group_63,sw_hosted_group_64",THREAT,threat_101, insufficient cloud security practices,cloud security breach,cloud security breach,"Cloud services, encompassing Software-as-a-Service (SaaS), Platform-as-a-Service (PaaS), and Infrastructure-as-a-Service (IaaS), have become vital components in modern business operations. Each of these service models offers unique capabilities but also comes with distinct security considerations. The risk of a cloud security breach is contingent on a multitude of factors that can vary depending on the type of service utilized.

Software-as-a-Service (SaaS): In SaaS, the software applications are hosted remotely and accessed via the internet. Potential risks here include data breaches from poorly configured app settings, insecure API integrations, and lack of control over data storage and handling by the SaaS provider.
Platform-as-a-Service (PaaS): PaaS provides a platform that allows users to develop, run, and manage applications without the complexity of building and maintaining the underlying infrastructure. The main risks for PaaS environments revolve around application vulnerabilities, misconfigurations, and inadequate access controls for development tools.
Infrastructure-as-a-Service (IaaS): In IaaS, the organization rents IT infrastructure components (servers, storage, etc.) from a cloud provider. This model poses risks related to inadequate configurations, unpatched systems, and poor network security practices.",,
"How significant would the impact be on your organization if your organization experience a cloud security breach, considering all types of cloud services (SaaS, PaaS, IaaS)?",Software Risk,THIRD-PARTY SOFTWARE,IMPACT,sw_hosted_question_group_6,"sw_hosted_group_58,sw_hosted_group_59,sw_hosted_group_60,sw_hosted_group_61,sw_hosted_group_62,sw_hosted_group_63,sw_hosted_group_64",IMPACT,impact_101,lack of understanding of cloud security practices,cloud security breach,cloud security breach,,,
How likely is it that your organization lacks adequate data encryption for the software applications hosted on your infrastructure?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_1,VULNERABILITY,vul_4401,inadequate data encryption,,,"This vulnerability refers to situations where data encryption is not sufficiently implemented for software applications hosted on the organization's infrastructure. External actors might intercept unencrypted data during transit (e.g., man-in-the-middle attacks) or gain unauthorized access to unencrypted stored data (e.g., via breached accounts or exploiting network vulnerabilities). Internal actors, particularly those with malicious intent or negligent behavior, might misuse or mishandle unencrypted sensitive data.",,
How likely is it that your organization's software systems lack sufficient access controls on its software supply chain?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_2,VULNERABILITY,vul_4402,insufficient access control,,,"This vulnerability arises when software systems lack sufficient access controls, such as multifactor authentication, role-based access, or adequate permissions management. External actors could exploit weak access controls to gain unauthorized access to systems or data, e.g., by brute-forcing weak credentials or exploiting misconfigured permissions. Internal actors could misuse their access privileges or exploit weak access controls to access unauthorized areas.",,
How likely is it that your organization's software applications lack proper data classification?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_3,VULNERABILITY,vul_4403,lack of data classification,,,"In the absence of proper data classification, sensitive data could be stored or transferred insecurely, potentially leading to data leaks or breaches. For instance, external actors might target unclassified data for theft or ransom, believing it to be valuable. Internal actors, perhaps unaware of the sensitivity of the data due to poor classification, might inadvertently expose sensitive data, e.g., by emailing it externally or storing it on insecure personal devices.",,
How likely is it that your organization's network is not properly segmented to protect sensitive data?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_4,VULNERABILITY,vul_4404,poor network segmentation,,,"When the organization's network is not properly segmented to protect sensitive data, both internal and external actors have a greater risk potential. External actors, having breached the network perimeter, could move laterally more easily, accessing sensitive systems or data. Internal actors could access systems and data not necessary for their role, either inadvertently causing damage or maliciously exploiting their access.",,
How likely is it that your organization's software systems have weak password policies?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_5,VULNERABILITY,vul_4405,weak password policies,,,Weak password policies can allow both internal and external actors to compromise accounts more easily. External actors might attempt brute-force attacks or use known breached credentials (credential stuffing). Internal actors might choose weak passwords that are easy to remember but also easy for malicious colleagues or opportunistic external actors to guess.,,
How likely is it that your organization is susceptible to phishing attacks?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_6,VULNERABILITY,vul_4406,phishing susceptibility,,,"This vulnerability refers to susceptibility to phishing attacks. For instance, an external actor might send an email to employees claiming to be from a trusted source, asking them to provide login details or personal information. If employees aren't trained to recognize such scams, they may provide the requested information, leading to data breaches. An internal actor, unaware of phishing scams, might inadvertently forward phishing emails to colleagues, expanding the potential for data compromise.",,
How likely is it that credentials are reused across multiple services in your organization?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_7,VULNERABILITY,vul_4407,reuse of credentials,,,"This refers to scenarios where the same credentials are used across multiple services. If an external actor compromises one service, they could potentially gain access to all services using the same credentials. For instance, if an external attacker gains access to an employee's email password and that password is reused for other services, the attacker can compromise those services. On the other hand, an internal actor who has discovered a colleague's reused password might exploit this for unauthorized access to systems.",,
How likely is it that your organization does not regularly update credentials for software systems?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_8,VULNERABILITY,vul_4408,lack of regular credential updates,,,"Regularly updating credentials is a vital security practice. If this is not done, an external actor might have time to crack an employee's password, giving them unauthorized access to systems. For instance, if an organization does not enforce regular password changes, an attacker who has stolen a password can maintain access over a prolonged period. Internally, a disgruntled employee who has learned a colleague's long-standing password might misuse it for malicious activities.",,
How likely is it that your organization's software systems lack adequate change control mechanisms?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_9,VULNERABILITY,vul_4409,inadequate change control,,,"Adequate change control mechanisms ensure that all modifications to the system are authorized and tracked. Without this, an external attacker might exploit a vulnerability introduced by an uncontrolled change. For example, an external actor could exploit a security flaw introduced during an uncontrolled system update. Internally, without proper change control, an employee could make unauthorized modifications to the system or exploit system vulnerabilities for personal gain.",,
How likely is it that your organization's software applications lack proper input validation?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_10,VULNERABILITY,vul_4410,lack of input validation,,,"Software applications should validate and sanitize input data to prevent security issues such as SQL Injection or Cross-Site Scripting (XSS). For example, an external attacker could manipulate input fields in a web application to gain unauthorized access to underlying databases. Conversely, an internal actor might unintentionally introduce harmful input data during testing or routine use, triggering unexpected system behaviors or security vulnerabilities.",,
How likely is it that your organization does not conduct regular audits of its software systems?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_11,VULNERABILITY,vul_4411,lack of regular audits,,,"Regular audits of software systems help identify and rectify security weaknesses. Without these audits, vulnerabilities might go unnoticed and could be exploited by external actors over time. For example, an external actor could exploit an undetected security flaw in a web server to gain unauthorized access. Internally, an employee with malicious intent could misuse system resources or make unauthorized changes, knowing that these actions will likely go unnoticed without regular audits.",,
How likely is it that your organization does not apply patches in a timely manner for its software systems?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_13,VULNERABILITY,vul_4412,outdated software,,,"This is about keeping software applications updated with the latest patches and security fixes. Outdated software might have vulnerabilities that external actors can exploit. For instance, an external hacker could exploit a known security flaw in an old version of a software to gain unauthorized access. Internally, an employee with technical knowledge might discover and exploit an unpatched vulnerability for personal gain or sabotage.",,
How likely is it that your organization lacks robust endpoint protection for its software systems?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_14,VULNERABILITY,vul_4413,insufficient endpoint protection,,,"This vulnerability refers to the lack of robust endpoint protection (antivirus, firewall, intrusion detection/prevention systems) for software systems. Without it, an external actor can infect devices with malware or gain unauthorized access more easily. For instance, an external attacker could infiltrate an unprotected endpoint with ransomware, disrupting business operations. Conversely, an internal actor could accidentally download a malicious attachment or visit a compromised website, leading to a system infection if robust endpoint protection is not in place.",,
How likely is it that your organization's email systems are not adequately secured against malicious threats?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_15,VULNERABILITY,vul_4414,poor email security,,,"This pertains to the security of email systems. If not properly secured, an external attacker could send phishing emails or spread malware through attachments. For instance, an external actor could send a disguised malicious email to employees, leading to data compromise upon opening. Internally, an employee might inadvertently propagate a virus by forwarding an infected email, thinking it's harmless.",,
How likely is it that your organization does not provide adequate training to employees about the risks of malware and ransomware?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_16,VULNERABILITY,vul_4415,lack of employee training,,,"This vulnerability refers to the lack of adequate training about risks of malware and ransomware. Without it, employees are more likely to fall victim to external threats. For example, an external actor could trick an untrained employee into clicking a malicious link or downloading a malware-infected file. An internal actor might inadvertently trigger a malware infection or ransomware attack due to a lack of awareness about such threats.",,
How likely is it that your organization lacks robust mechanisms for verifying the authenticity of software?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_18,VULNERABILITY,vul_4416,insufficient verification mechanisms,,,"This vulnerability points to a lack of robust mechanisms for verifying the authenticity of software. Without this, an external attacker could trick employees into installing fake software, leading to data compromise. For instance, an external attacker could create a fake version of a popular software tool, tricking employees into downloading and installing it, thereby compromising the system. An internal actor might inadvertently introduce a malicious application into the system due to the lack of mechanisms to verify software authenticity.",,
How likely is it that software used in your organization is downloaded from insecure or unverified sources?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_19,VULNERABILITY,vul_4417,insecure download channels,,,"This vulnerability is about software being downloaded from insecure or unverified sources. If this is the case, an external attacker can introduce malware or spyware to your systems. For instance, an external attacker might set up a fraudulent website offering free software downloads, which are actually laden with malware. Internally, an employee might download and install software from an insecure source, inadvertently introducing a security threat.",,
How likely is it that your organization does not have robust practices for signing code to verify its integrity?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_20,VULNERABILITY,vul_4418,weak code signing practices,,,"This refers to the lack of robust practices for signing code to verify its integrity. An external attacker might deliver tampered code if the organization doesn't verify the signatures. For instance, an external actor could alter the source code of an application, introduce malicious scripts, and then distribute it, leading to system compromise upon installation. Internally, a technically knowledgeable employee could modify code and deploy it without undergoing proper checks if code signing practices are not enforced.",,
How likely is it that your organization's software systems have single points of failure?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_24,VULNERABILITY,vul_4420,single points of failure,,,"This vulnerability is about the existence of single points of failure in the software systems. These are critical components that, if compromised, can affect the entire system. External attackers often target these points. For example, an external attacker could identify and compromise a single point of failure, causing widespread system disruption. An internal actor, whether accidentally or maliciously, might make a critical mistake at a single point of failure, leading to a significant system issue.",,
How likely is it that your organization lacks a robust incident response plan for supply chain disruptions?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_26,VULNERABILITY,vul_4422,poor incident response plan,,,"This vulnerability pertains to the lack of a robust incident response plan for supply chain disruptions. Without this plan, external threats like a cyber attack on a supplier can lead to prolonged disruptions. For instance, if an external attacker successfully launches a DDoS attack against a third-party supplier, the organization might struggle to resume normal operations due to lack of a contingency plan. Internally, an unprepared staff might exacerbate a disruption by responding inefficiently or ineffectively in the event of a supply chain incident.",,
How likely is it that your organization's software systems lack adequate DDoS protection?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_27,VULNERABILITY,vul_4423,Inadequate DDoS protection,,,"This is about the lack of adequate DDoS protection. Without it, external attackers can overwhelm the system with traffic, causing disruption. For example, an external actor might launch a DDoS attack that disrupts the organization's online services, causing downtime and potential loss of business. Internally, an uninformed employee might inadvertently trigger a scenario that mimics a DDoS attack, such as by running a script that sends an excessive number of requests to a server.",,
How likely is it that your organization does not properly evaluate the security of third-party software and services?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_28,VULNERABILITY,vul_4424,lack of third-party software or service risk assessment ,,,,,
How likely is it that your organization uses third-party software from vendors that don't have a good reputation for making secure software?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_29,VULNERABILITY,vul_4425,neglecting vendor security assessment,,,,,
How likely is it that your organization uses third-party software without conducting a proper security assessment or audit of the product?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_30,VULNERABILITY,vul_4426,lack of third-party product's security audits,,,,,
How likely is it that your organization's third-party software is not monitored for abnormal behavior or anomalies?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_32,VULNERABILITY,vul_4427,insufficient software monitoring,,,,,
How likely is it that your organization does not have a procedure in place to respond to a security incident related to third-party software?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_33,VULNERABILITY,vul_4428,absence of incident response procedure,,,,,
How likely is it that your organization lacks a systematic approach to assessing the security measures of third-party software providers when direct audits are not permitted?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_35,VULNERABILITY,vul_4430,inadequate security measure evaluation,,,,,
"How likely is it that your organization does not receive sufficient security assurance documentation (like SOC 2 reports, ISO 27001 certifications, or CSA STAR certifications) from your third-party software providers?",Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_36,VULNERABILITY,vul_4431,lack of assurance documentation,,,,,
How likely is it that your organization's software projects include unused dependencies that could be exploited?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_38,VULNERABILITY,vul_4432,unmanaged software dependencies,,,,,
"How likely is it that your organization does not practice version pinning, potentially leading to the integration of compromised versions of third-party libraries?",Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_39,VULNERABILITY,vul_4433,ignoring version pinning practices,,,,,
How likely is it that your organization lacks dependency resolution rules that could prevent the inclusion of insecure versions of third-party libraries?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_40,VULNERABILITY,vul_4434,no dependency resolution rules,,,,,
How likely is it that your organization's user account management practices are insufficient to prevent unauthorized access to software development and deployment tools?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_41,VULNERABILITY,vul_4435,insufficient account management practices,,,,,
"How likely is it that your organization does not implement secure authentication practices, such as multi-factor authentication, password recycling, session timeouts, and token protection, for its software development and deployment tools?",Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_42,VULNERABILITY,vul_4436,poor authentication practices,,,,,
"How likely is it that your organization lack of typo guard or typo detection mechanisms?
 ",Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_43,VULNERABILITY,vul_4437,absence of typo detection,,,,,
"How likely is it that your organization does not prevent script execution when dealing with third-party libraries, potentially allowing malicious code to be executed?",Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_44,VULNERABILITY,vul_4438,uncontrolled script execution,,,,,
How likely is it that your organization does not use code signing to verify the authenticity of third-party libraries?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_45,VULNERABILITY,vul_4439,lack of code signing,,,,,
How likely is it that your contracts with third-party suppliers lack necessary security safeguards?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_46,VULNERABILITY,vul_4440,incomplete supplier contract safeguards,,,,,
How likely is it that your organization's processes for vetting suppliers are inadequate?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_47,VULNERABILITY,vul_4441,inadequate supplier vetting,,,,,
How likely is it that your organization fails to adequately monitor supplier performance in terms of security compliance?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_48,VULNERABILITY,vul_4442,inadequate supplier performance monitoring,,,,,
